일시,평균기온,평균최고기온,최고기온,평균최저기온,최저기온,평균월강수량,최다월강수량,1시간최다강수량,평균풍속,최대풍속,최대순간풍속,평균습도,최저습도,일조합,일사합,배추값,무값,고추값,마늘값,쪽파값
2408,27.9,33,39.3,24.1,14.6,87.3,232.9,96,1.5,14.9,22.1,78,16,246.9,612.01,6397,3378,1855,10029,11557
2407,26.2,29.9,37.7,23.3,13.6,379.2,759.5,93.5,2,16.7,26.5,83,29,140.4,479.76,4824,2577,1875,10010,11000
2406,22.7,28.4,37.7,17.5,2,130.5,288.2,38.1,1.6,18.2,25.1,70,8,248.1,669.09,3560,2097,2119,10291,9508
2405,17.7,24,33.4,11.8,-1.3,117.6,323.8,33,1.9,20.8,29.1,67,6,269.6,696.86,3814,2084,2665,9246,8203
2404,14.9,21.1,32.2,9.4,-3.8,80.4,251.4,21.4,1.7,20.9,24.9,68,5,194.9,524.21,4402,1935,3456,9196,7479
2403,6.9,12.6,26.7,1.4,-15.6,64.7,149.9,37,2.1,21.1,28,62,4,201.3,463.95,3673,1875,2801,9785,8237
2402,4.1,8.8,22.9,0,-15.9,103.3,201.2,56.9,1.8,27.7,31.5,76,8,111,255.72,3457,1705,1901,9864,11052
2401,0.9,5.7,18.7,-3.4,-21.9,31.9,67.9,12.5,1.8,25.7,34.3,67,5,174.9,283.2,3043,1596,1769,9868,10601
2312,2.4,7.3,23.1,-2.1,-20.4,102.9,229.2,27.4,1.8,27.5,33.2,70,4,154.6,235.38,3019,1614,1858,9761,10012
2311,7.9,13.5,29.4,2.9,-13.2,63.4,122.9,50.5,2,30,37.1,65,6,184.5,299.42,2956,1527,1788,8248,6023
2310,14.7,21.1,27.3,9.6,-1.8,17,59.6,34.7,1.4,18,22.9,72,14,222.2,437.7,6170,2358,2085,9915,9486
2303,22.6,27.1,33.4,19,6.4,197.3,377.2,68.9,1.3,19.9,25.4,81,11,161.6,433.67,5718,2395,1907,8486,8908
2308,26.4,30.9,38.4,22.9,13.6,299.6,669.6,88.7,1.5,22,25.9,81,32,193.1,536.93,5570,2706,1601,9812,12589
2307,25.5,29.6,37.3,22.4,11.1,506.1,880.3,55,1.5,16.5,25.7,85,25,147,495.27,4134,2014,1848,9759,10693
2306,22.3,27.5,35.4,18,7.4,210,483.2,66.7,1.7,15.2,22.6,75,15,215.5,625.64,3786,1904,1963,10244,9212
2305,17.9,23.6,35.5,12.4,-2.3,193.4,415.5,40.6,1.7,20.2,32,69,8,218.4,605.44,4069,2275,2164,11271,7351
2304,13.1,19.1,30,7.1,-3.2,66.3,163.5,14.4,2,24.4,31.1,62,1,202.6,528.91,3923,1986,3361,12253,4930
2303,9.4,16.5,27.6,2.7,-8.7,28.7,80.4,28.9,1.8,20.9,27.9,55,1,236.4,517.56,3497,1919,2787,12422,5617
2302,2.5,8.5,19.6,-2.8,-17.5,15.2,65.5,14.3,1.7,19,23.2,60,3,183.6,352.2,3047,2012,1812,13102,7868
2301,-0.6,5.1,20.9,-5.8,-25.2,40.5,113.8,76,1.8,27.4,34.7,63,2,198.8,304.83,2952,1840,2049,12682,9604
2212,-1.4,3.8,16.9,-6,-21.8,15.2,66.7,9,1.8,26.3,32.4,62,6,189.4,267.73,2886,1976,1758,12234,6234
2211,9.6,16.5,27.4,3.9,-12.2,61.6,200.6,66,1.4,19.6,28.6,68,2,195.2,307.62,3416,2615,1910,11970,6631
2210,14,20.1,32.8,8.9,-4,77.6,377.1,40.2,1.6,20.5,26.8,73,9,211.8,420.14,5966,3664,2257,13498,7676
2209,21,26.3,35,16.6,2.5,150.8,512,77,1.7,37.3,43.4,77,13,180.9,468.07,9061,3843,1676,13395,10477
2208,25.3,29.1,37.9,22.1,7,311.5,947.4,92.2,1.6,17,24.9,83,23,143.8,444.36,6687,3132,1506,13399,9199
2207,25.9,30.3,37.2,22.5,14,178.4,350.5,42.5,1.6,15,20.9,81,23,182,558.33,5637,2535,1603,13313,10530
2206,22.4,27.2,37.1,18.3,5.6,184.7,484.2,87.8,2,18.5,25.4,76,2,178.9,542.02,4134,2076,1637,13279,9086
2205,18,24.6,33.6,11.5,-2.7,5.8,14.5,8.4,1.9,13.3,23.3,57,1,304.4,754.45,4634,1939,1707,13163,5759
2204,13.8,20.4,31.3,7.5,-5.2,59.4,191.7,68.4,1.9,16.1,30.7,60,1,253.1,615.44,4978,1631,2135,12814,4590
2203,7.7,13.7,23.9,2,-12.5,89.4,169.2,61.7,1.9,21.3,29.6,65,1,190.3,438.18,4451,1663,2212,12168,6595
2202,-0.1,5.7,16.9,-5.4,-19.4,3.5,15.3,6.5,2.2,23.3,27.6,52,1,225.1,392.43,4089,1704,1702,12317,8946
2201,-0.8,5,14.8,-6,-20.4,2.6,14.6,5.1,1.7,23.5,31.5,57,1,216.3,320.4,4228,1711,1588,12117,8110
2112,1.9,7.4,18.6,-3.1,-21.2,7.2,68.7,26.6,1.9,29,34.9,64,2,195.5,269.83,4217,1794,1536,12556,6528
2111,8.3,14.5,23.8,3.3,-10.7,58,126.2,62.2,1.6,27.2,33,71,6,191.7,291.62,4409,1773,1533,11844,8239
2110,15.1,21.2,32.3,10.4,-5,53.9,216.9,26.6,1.4,18.9,27.4,77,10,201.4,389.5,4280,1788,1317,12137,7826
2109,21.3,25.8,33.3,17.7,7.6,145.8,250.8,62.6,1.6,20.2,24.3,80,9,158.6,415.15,5396,2046,1377,12144,7944
2108,24.8,29.2,38.3,21.5,12.6,288.4,503.3,71.4,1.5,26.1,34.8,83,25,157.1,449.3,4393,2183,1540,12127,8424
2107,26,30.8,37.2,22.2,13.6,233.8,521.2,64.7,1.5,18.7,24.6,80,22,228,613.43,3390,1762,1602,11724,6242
2106,21.7,26.7,33.9,17.5,6.9,91.6,266.1,56.3,1.6,19.1,27.1,77,13,208.6,587.74,3213,1643,1735,11519,5651
2105,16.6,22.2,31.8,11.4,-0.7,143.8,240.9,34,1.9,17.8,24.8,71,2,212.5,572.51,3736,1587,2061,11636,5497
2104,13.2,19.3,30,7.3,-5.7,76.3,138.2,25,2.1,24.8,29.4,59,1,235.5,580.82,5211,1445,2624,11388,4756
2103,8.7,14.8,25,3.1,-16.9,110.7,234.4,52,1.9,24,27.2,68,3,215.5,474.67,4736,1535,2137,10413,5841
2102,3.4,9.4,24.9,-2.2,-17.4,20.1,81.4,19.1,2.2,25.8,32.1,58,2,198.6,355.45,3804,1863,1688,10053,10346
2101,-1.1,4.5,18.2,-6.3,-24.3,19.9,42.6,9.8,1.9,25.9,32.1,63,4,191.2,286.82,3027,1995,1587,9897,12254
2012,0.4,5.9,16.3,-4.4,-20.3,7.8,34.9,7.1,1.8,27.5,32.5,60,3,202.7,279.13,2879,1842,1796,9882,7447
2011,8.5,14.2,26.7,3.4,-8.9,40.8,120.1,44.1,1.7,19.7,26.6,65,6,185,292.99,3330,2077,2897,9939,6798
2010,13.7,20,28.1,8.3,-4.6,10.5,31.9,19.7,1.5,19.4,23.5,69,8,228.9,430.97,7242,3198,2762,10292,6176
2009,20.1,24.9,32.5,16.3,3,219.1,613.8,57.4,1.8,45,49.2,80,22,172.3,427.78,10740,3751,1602,10203,10317
2008,26.4,30.5,37.8,23.5,15.3,420.8,903,81.5,1.8,36.4,47.4,85,17,161.3,454.86,7422,2495,1460,9732,7624
2007,22.5,26.2,35,19.6,7.8,427.7,796.8,70.4,1.5,19.7,30.7,86,25,116.3,429.16,4885,1922,1274,7770,5730
2006,22.7,28,37,18.2,8.1,182.9,383.1,56.3,1.7,22.1,27.2,75,14,222.8,610.81,4372,1649,1245,7154,6790
2005,17.6,23.1,32.8,12.6,0.6,103.5,258.6,28.7,1.9,19.8,27,72,8,222,613.61,4793,1541,1220,7024,6217
2004,10.6,17.1,29,4.3,-9.2,41,93.8,13.6,2.3,18.4,25.5,55,2,277,642.36,4508,1599,2091,6757,4983
